,,Originial Categories (Our estimates),,,,ARC Criteria (Our estimates),,,,Other Criteria (Our estimates),,,,ARC Actual,,,
COUNTY,Total_Num_Building,Complete,Extensive,Moderate,Slight,Destroyed,Major,Minor,Affected,Destroyed,Major,Minor,Affected,Destroyed,Major,Minor,Affected
Alachua County,"13,596",0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,5
Baker County,"4,234",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
Bay County,"16,663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradford County,"3,780",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brevard County,"31,404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broward County,"48,370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun County,"2,421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte County,"26,591",383,0,178,182,0,0,178,0,0,0,178,0,22,287,168,22
Citrus County,"21,439","2,436",197,282,111,20,688,920,0,13,573,"1,042",0,2,690,269,66
Clay County,"13,908",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collier County,"14,809",111,0,16,28,0,0,16,0,0,0,16,0,0,28,35,1
Columbia County,"10,875",0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6
DeSoto County,"5,036",0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
Dixie County,"5,275",717,2,10,1,2,483,101,0,2,482,102,0,53,195,51,62
Duval County,"32,627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escambia County,"14,445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flagler County,"4,011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin County,"1,796",13,0,3,4,0,0,3,0,0,0,3,0,0,0,0,0
Gadsden County,"5,297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilchrist County,"3,681",2,1,0,0,0,0,1,0,0,0,1,0,1,2,2,1
Glades County,"4,099",0,0,0,0,0,0,0,0,0,0,0,0,9,8,17,3
Gulf County,"2,436",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hamilton County,"2,262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardee County,"3,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hendry County,"7,613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hernando County,"19,459",392,3,35,7,0,222,176,0,0,218,180,0,0,64,1,16
Highlands County,"12,973",0,0,0,0,0,0,0,0,0,0,0,0,1,8,32,1
Hillsborough County,"48,431",867,10,417,376,0,25,461,0,0,19,467,0,4,424,700,299
Holmes County,"3,019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Indian River County,"6,595",0,0,0,0,0,0,0,0,0,0,0,0,1,14,60,20
Jackson County,"5,341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,"2,315",0,0,0,0,0,0,0,0,0,0,0,0,5,18,32,14
Lafayette County,"1,810",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lake County,"35,665",0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,72
Lee County,"46,005",101,0,65,60,0,0,65,0,0,0,65,0,10,370,209,49
Leon County,"15,143",0,0,0,0,0,0,0,0,0,0,0,0,2,9,13,8
Levy County,"11,366",574,52,38,3,1,205,262,0,1,194,273,0,5,49,23,52
Liberty County,"1,235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison County,"2,458",0,0,0,0,0,0,0,0,0,0,0,0,15,57,115,32
Manatee County,"34,424","1,021",0,410,355,0,2,444,0,0,2,444,0,16,671,322,186
Marion County,"43,893",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Martin County,"9,295",0,0,0,0,0,0,0,0,0,0,0,0,7,18,26,20
Miami-Dade County,"75,785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe County,"9,272",52,0,12,46,0,0,13,0,0,0,13,0,0,0,0,0
Nassau County,"9,620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okaloosa County,"7,271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okeechobee County,"10,047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange County,"40,596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola County,"14,300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palm Beach County,"33,050",0,0,0,0,0,0,0,0,0,0,0,0,1,4,45,4
Pasco County,"56,883","1,769",36,"1,005",550,0,287,"1,621",0,0,81,"1,827",0,2,"1,543",321,99
Pinellas County,"50,110",856,2,"2,279",691,0,130,"2,364",0,0,74,"2,420",0,18,"2,051",979,604
Polk County,"69,380",0,0,0,0,0,0,0,0,0,0,0,0,0,44,54,15
Putnam County,"19,403",0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15
Santa Rosa County,"9,806",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sarasota County,"38,318",240,0,150,121,0,0,152,0,0,0,152,0,38,59,268,155
Seminole County,"10,032",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
St. Johns County,"10,761",0,0,0,0,0,0,0,0,0,0,0,0,28,258,230,221
St. Lucie County,"11,893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumter County,"9,446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suwannee County,"11,614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Taylor County,"4,325",455,44,88,22,6,180,212,0,3,152,243,0,178,180,161,98
Union County,"1,760",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Volusia County,"22,482",0,0,0,0,0,0,0,0,0,0,0,0,0,3,55,15
Wakulla County,"4,370",87,0,5,5,0,0,5,0,0,0,5,0,0,18,8,0
Walton County,"7,950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County,"4,722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0